"review_id","customer_id","product_id","product_parent","review_date"
"R10000BVML0496",40275859,"B000ASB3RG",392799790,"2006-10-26"
"R10000LJKGSB5P",36697166,"B00575T15S",384104593,"2012-12-29"
"R10001YDZII5ZW",24798279,"B0018LACGM",109611792,"2014-08-30"
"R10003EHDBEXOQ",33093204,"B000E5XNAK",933047633,"2014-11-02"
"R10003NYOUFBF4",40655019,"B00KTEQI5I",15924924,"2015-02-02"
"R100053T8GFL4A",14983596,"B008LM32QS",96198842,"2014-09-04"
"R10006TX0U24MT",31237014,"B000GGMERU",117825237,"2015-06-24"
"R100083SCCTEDP",36237323,"B004BAKERO",484231799,"2013-10-03"
"R100084D2DBT9J",11713260,"B0000CBK1L",97137943,"2014-05-03"
"R10008KP2ESQAU",52557344,"B000J2CD7M",665603490,"2012-12-21"
"R100097H0NGE27",45697300,"B002S0NP7A",613534229,"2012-02-21"
"R10009KG29GSAK",19709692,"B0081UB1UO",118043090,"2013-05-31"
"R10009Q5E8YT9E",37596328,"B005OFGG68",829809131,"2015-01-06"
"R10009YGRN0XPO",51047694,"B005HANMXA",728637718,"2012-07-20"
"R1000AJ56EL7MS",40805495,"B00G441S5W",798587244,"2014-06-16"
"R1000AL4JRNMW6",51871155,"B00L7SBMT2",584236563,"2015-03-27"
"R1000AR6X8V9Y2",33617040,"B003NYDOZS",379823987,"2015-06-30"
"R1000BVD1EPVJM",49326008,"B001N09KN4",890968838,"2014-07-23"
"R1000E2KBT0PD7",35830214,"B007IUJMMM",159682918,"2014-10-01"
"R1000EC1J7G4GE",42969344,"B005HYYIKW",351336738,"2012-12-01"
"R1000ED5HYS9X3",42056037,"B00G0MGIGW",767902217,"2014-09-21"
"R1000HJU5WKAUK",35300634,"B000JQM1DE",681423539,"2013-09-22"
"R1000HQZ44GKVU",14773081,"B001S5HHM0",743097706,"2013-04-24"
"R1000I18R6HKKA",16417718,"B00L9X5W9G",383922320,"2015-07-29"
"R1000JC4IL97YX",6613018,"B009MRLAF6",638341614,"2014-12-05"
"R1000JLP1DHCKE",47204432,"B0000TZYBQ",537895588,"2007-09-26"
"R1000JTKNBNFCU",16419400,"B0033F82SQ",337549355,"2015-05-23"
"R1000JW5B93Q6F",43728616,"B000KG05TU",882381899,"2013-08-27"
"R1000LHU60VE58",28606294,"B002N2CDM6",656310085,"2011-08-26"
"R1000LM3OROJIT",50401243,"B006HEQD3Q",494273180,"2015-07-01"
"R1000LTM1UGCKV",11234940,"B004L04X5S",905723604,"2013-11-06"
"R1000MJJC15SU8",38335708,"B009OHOLX2",507836327,"2014-11-17"
"R1000MN3CR5BF8",13275425,"B00LX9IJ2I",334570630,"2015-07-12"
"R1000NP70WHOEE",52490253,"B00077AA4M",258529412,"2005-05-13"
"R1000PF3QEDC4A",3298467,"B003G2ZW34",83417827,"2014-12-15"
"R1000PZ4K3B8MM",17233521,"B00B4HQ5XY",856352546,"2014-10-02"
"R1000SLA3NPN6M",29767741,"B00L03XDW8",106853142,"2014-10-03"
"R1000SNASBR6CP",44739997,"B00FVCO58A",254959761,"2014-10-02"
"R1000WAD6M8FKF",18392093,"B0018I8GJ0",311568304,"2015-04-08"
"R1000X7GE31JJH",23722447,"B000WOM50W",612623154,"2013-04-02"
"R1000YQP4WRIU4",14932397,"B00JAB31VA",292092418,"2015-07-01"
"R1000YTBBDVY3W",16315188,"B000U0K5PU",72393897,"2014-09-05"
"R1000Z95YC29CQ",16123083,"B002XXN5RC",724990034,"2012-12-30"
"R10010HTJSY682",28253811,"B00ALM6NCG",370351689,"2013-01-28"
"R10011QS7JRODN",12219169,"B002DQA00E",4460376,"2010-08-17"
"R10013I9KAO1UO",44690842,"B00EKB3ZOS",609578238,"2014-01-17"
"R10014QGONAQBA",52475981,"B0027P9516",804045875,"2013-05-16"
"R10014WLGOLG9X",1873741,"B00QJGNKRY",2715784,"2015-01-21"
"R10015NWT66EWU",14296279,"B002TIYWBY",881516544,"2013-12-16"
"R10016CCR6JGM",14665430,"B004MNSWJ2",231586078,"2015-07-27"
"R10016OJLD925C",45960795,"B00723HKK6",421573639,"2012-12-27"
"R10017NQ8CTU53",36570191,"B00GN7V94U",290108819,"2014-12-05"
"R10018I51WAQT",44068927,"B00C79E8ZA",484354847,"2014-05-02"
"R1001AMRGXGB7A",12677512,"B00KB75YE4",357214448,"2015-07-23"
"R1001B2TKVSG64",12883945,"B000UXH9KQ",737643815,"2014-03-23"
"R1001BXKJRFPCM",38770107,"B00R1VBEH4",825639584,"2015-03-31"
"R1001CH5YMSOUD",49438636,"B00280METK",862286466,"2011-05-31"
"R1001JM60P2N7I",28290989,"B004RWJGUC",709443301,"2014-07-28"
"R1001KIAR50UQ1",41636810,"B00ITEAQFS",103847603,"2014-11-07"
"R1001L797KKFM1",43410537,"B0067VHN3I",263791999,"2014-09-10"
"R1001M0ACXSGVY",32736898,"B008NUQ6U2",753531974,"2015-02-11"
"R1001O5ADEIHV1",6357085,"B00JRYCTPY",487680537,"2015-02-04"
"R1001Q4DC3KJ9M",12075694,"B000RZNEEW",716193301,"2013-10-29"
"R1001QYBOMIGSK",27821899,"B00394TVU4",458895480,"2014-03-08"
"R1001RCEWYJQYY",27133737,"B00198JY5E",821880329,"2012-12-26"
"R1001RI8KT9D2Z",34896481,"B00005V9E4",43972992,"2014-10-10"
"R1001S2F6RQBJN",14846089,"B000AM7YJI",717475995,"2014-08-07"
"R1001UKGMMMHB3",44800237,"B00UEAI3OQ",583682108,"2015-07-18"
"R1001UUQ0OFTPP",47210640,"B007PJCNW2",168907715,"2013-03-12"
"R1001YYRCSGH5S",35186439,"B000UASTWG",68651649,"2014-03-04"
"R10020E2WEUN3V",23514388,"B001IBA8CU",7206869,"2013-02-26"
"R1002198M7WIVP",1216015,"B0052SWHH4",533023442,"2015-04-16"
"R100228TOJRXXB",341590,"B001CEMXXA",767844598,"2015-05-03"
"R100230P5MUHAE",17557451,"B00B29B188",673232543,"2013-12-18"
"R10023Q722J82J",39597603,"B004CBAWN8",110878145,"2013-04-17"
"R10023T13EWXSK",1311764,"B00L9G6DSW",966290983,"2015-05-04"
"R100250IFO58IT",33109543,"B004MAR2C8",266825925,"2014-01-26"
"R10025JQOVZQSP",47279204,"B005P5CSL4",423351230,"2013-03-02"
"R10025MTOY2DY5",23628970,"B005HK1UC0",86191315,"2015-02-10"
"R1002AQWBL041M",52897783,"B000065DKJ",61195623,"2013-05-05"
"R1002ASDWBR355",48747746,"B00C351GBC",956273263,"2014-12-25"
"R1002CROK3OSBW",49128062,"B002CJQLLE",600515771,"2014-02-16"
"R1002E85PJI1NX",43123461,"B000JPMH2K",960280802,"2014-03-16"
"R1002EA4BR0ANC",20846622,"B008TKPVC0",252250939,"2014-01-20"
"R1002JAG2RDZS9",14356863,"B0000668C1",730552346,"2009-06-22"
"R1002JB3BRWV7J",11684213,"B00JG8K3YA",637369220,"2014-12-27"
"R1002JDNGF1ZHY",48133309,"B000AS9IIC",975867981,"2015-04-16"
"R1002K3I9LEQA",51835697,"B00TUGMLHA",696147013,"2015-08-25"
"R1002K7NEDGBN1",47456373,"B002OS6E56",992078302,"2012-03-02"
"R1002KURC652NN",26955439,"B00004TBJI",951556420,"2015-04-21"
"R1002L35A85OV7",47100537,"B000CSS27I",153129927,"2013-05-11"
"R1002LMB9XXNIR",45219627,"B003U52LFY",355539399,"2011-08-26"
"R1002LQ28D1VTT",15710830,"B00PJ4V76S",223049785,"2015-04-24"
"R1002LX4158ZX6",23542483,"B00AI134FE",633820024,"2014-08-04"
"R1002M9PIQ6TJC",41738989,"B0079MEE9K",653938977,"2014-01-04"
"R1002O1VVHD7I1",16654435,"B000BOPC2Q",352023273,"2006-09-25"
"R1002OAF1R8M6J",36263143,"B0044D0HA2",704627972,"2014-04-08"
"R1002Q4MD8XFIA",24978566,"B00ANU0HPK",729467491,"2014-12-20"
"R1002QG835YO3I",14002586,"B0013BKDO8",365633926,"2012-11-28"
"R1002R16NSPSAH",21257202,"B00J2TJFYM",474544191,"2015-02-22"
